ticker,latest_price,ret_5d,ret_1m,ret_3m,ret_ytd,bench_ret_5d,bench_ret_1m,bench_ret_3m,bench_ret_ytd,rel_5d,rel_1m,rel_3m,rs_status,ma20,ma50,distance_to_ma20_pct,distance_to_ma50_pct,distance_from_20d_high_pct,latest_volume,avg20_volume,volume_ratio,volume_signal,volatility_20d,setup_type,scan_timestamp,benchmark
CBC,31.17,2.4,11.0,29.24,31.87,0.91,-0.98,13.77,10.03,1.49,11.98,15.47,跑贏指數,29.377,28.1896,6.1,10.57,-1.95,726457,962013.0,0.76,正常量能,25.1,強勢延續,2026-07-07 23:31:05,SPY
ARVN,8.59,3.62,10.98,-23.44,-25.11,0.91,-0.98,13.77,10.03,2.71,11.96,-37.21,跑贏指數,7.8225,8.7366,9.81,-1.68,0.0,844416,848691.0,0.99,正常量能,41.33,強勢延續,2026-07-07 23:31:05,SPY
FHB,30.23,3.35,10.98,19.68,20.13,0.91,-0.98,13.77,10.03,2.44,11.96,5.91,跑贏指數,28.8265,27.6491,4.87,9.33,-0.36,1476604,1722870.0,0.86,正常量能,19.32,強勢延續,2026-07-07 23:31:22,SPY
ESQ,120.5,1.47,10.94,10.37,19.39,0.91,-0.98,13.77,10.03,0.56,11.92,-3.4,跑贏指數,115.8485,110.9225,4.02,8.63,-2.53,148603,129225.0,1.15,正常量能,23.61,強勢延續,2026-07-07 23:31:22,SPY
MDGL,545.36,3.43,10.66,2.15,-8.17,0.91,-0.98,13.77,10.03,2.52,11.64,-11.62,跑贏指數,506.0585,509.2226,7.77,7.1,0.0,318420,420661.0,0.76,正常量能,33.17,強勢延續,2026-07-07 23:31:45,SPY
EXPI,5.32,3.3,10.6,-9.39,-40.5,0.91,-0.98,13.77,10.03,2.39,11.58,-23.16,跑贏指數,4.965,5.3137,7.15,0.12,-6.5,1509415,1463585.0,1.03,正常量能,66.64,強勢延續,2026-07-07 23:31:22,SPY
EZPW,35.44,6.36,10.23,33.33,76.67,0.91,-0.98,13.77,10.03,5.45,11.21,19.56,跑贏指數,32.5735,32.6616,8.8,8.51,-0.42,772885,1228989.0,0.63,量價背馳,55.07,強勢延續,2026-07-07 23:31:22,SPY
ALGN,185.22,6.8,10.06,7.77,18.71,0.91,-0.98,13.77,10.03,5.89,11.04,-6.0,跑贏指數,176.7195,171.8746,4.81,7.76,-1.68,897389,1147749.0,0.78,正常量能,52.77,強勢延續,2026-07-07 23:31:05,SPY
HBAN,18.01,1.07,9.94,14.01,5.02,0.91,-0.98,13.77,10.03,0.16,10.92,0.24,跑贏指數,17.3596,16.5174,3.75,9.04,-0.55,26790483,22948119.0,1.17,正常量能,20.54,強勢延續,2026-07-07 23:31:39,SPY
GLIBA,22.81,4.11,9.82,-37.09,-36.39,0.91,-0.98,13.77,10.03,3.2,10.8,-50.86,跑贏指數,21.486,25.1484,6.16,-9.3,-0.39,91540,152142.0,0.6,縮量回踩,60.84,強勢延續,2026-07-07 23:31:39,SPY
MMED,15.37,3.29,9.32,16.18,-16.87,0.91,-0.98,13.77,10.03,2.38,10.3,2.41,跑贏指數,14.79,13.109,3.92,17.25,-1.41,524505,1192670.0,0.44,量價背馳,46.29,強勢延續,2026-07-07 23:31:45,SPY
AGNC,11.12,2.21,9.26,12.72,8.72,0.91,-0.98,13.77,10.03,1.3,10.24,-1.05,跑贏指數,10.5005,10.4049,5.9,6.87,-0.45,14369482,16235059.0,0.89,正常量能,19.63,強勢延續,2026-07-07 23:31:05,SPY
HTO,61.77,1.25,9.23,5.91,27.45,0.91,-0.98,13.77,10.03,0.34,10.21,-7.86,跑贏指數,58.734,57.8029,5.17,6.86,-1.04,294061,494313.0,0.59,量價背馳,23.43,強勢延續,2026-07-07 23:31:39,SPY
IAC,46.75,10.44,9.08,16.96,19.75,0.91,-0.98,13.77,10.03,9.53,10.06,3.19,跑贏指數,43.296,43.0524,7.98,8.59,0.0,830000,972354.0,0.85,正常量能,34.36,強勢延續,2026-07-07 23:31:39,SPY
DORM,139.64,5.34,9.06,38.95,12.52,0.91,-0.98,13.77,10.03,4.43,10.04,25.18,跑贏指數,130.7715,123.6262,6.78,12.95,-0.31,259317,327671.0,0.79,正常量能,25.28,強勢延續,2026-07-07 23:31:22,SPY
GABC,47.66,1.25,9.04,12.35,24.32,0.91,-0.98,13.77,10.03,0.34,10.02,-1.42,跑贏指數,46.1865,44.3413,3.19,7.48,-0.83,202473,223329.0,0.91,正常量能,17.76,強勢延續,2026-07-07 23:31:39,SPY
CRAI,155.38,7.88,8.98,-4.77,-21.96,0.91,-0.98,13.77,10.03,6.97,9.96,-18.54,跑贏指數,146.209,146.6858,6.27,5.93,0.0,103996,175535.0,0.59,量價背馳,34.11,強勢延續,2026-07-07 23:31:22,SPY
EXEL,57.08,5.16,8.74,29.79,30.98,0.91,-0.98,13.77,10.03,4.25,9.72,16.02,跑贏指數,53.403,50.4904,6.89,13.05,0.0,3334270,2826954.0,1.18,正常量能,27.03,強勢延續,2026-07-07 23:31:22,SPY
CRVL,64.33,4.35,8.63,18.98,-2.14,0.91,-0.98,13.77,10.03,3.44,9.61,5.21,跑贏指數,61.1765,59.8074,5.15,7.56,-0.25,122581,240249.0,0.51,量價背馳,30.06,強勢延續,2026-07-07 23:31:22,SPY
IBKR,94.57,7.22,8.63,37.82,40.82,0.91,-0.98,13.77,10.03,6.31,9.61,24.05,跑贏指數,91.618,86.805,3.22,8.95,-2.32,4783001,4909185.0,0.97,正常量能,43.6,強勢延續,2026-07-07 23:31:39,SPY
GLIBK,22.49,5.54,8.59,-38.65,-37.74,0.91,-0.98,13.77,10.03,4.63,9.57,-52.42,跑贏指數,21.2025,24.8884,6.07,-9.64,-0.75,1074057,1071853.0,1.0,正常量能,46.1,強勢延續,2026-07-07 23:31:39,SPY
FRSH,10.38,1.67,8.24,25.82,-10.52,0.91,-0.98,13.77,10.03,0.76,9.22,12.05,跑贏指數,9.5918,9.2275,8.22,12.49,-0.29,21168642,25686677.0,0.82,正常量能,42.92,強勢延續,2026-07-07 23:31:22,SPY
